Price,Close,High,Low,Open,Volume
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS
Date,,,,,
2025-10-10,10.53499984741211,11.119999885559082,10.53499984741211,10.984999656677246,396222
2025-10-13,10.645000457763672,10.760000228881836,10.539999961853027,10.645000457763672,125635
2025-10-14,10.53499984741211,10.760000228881836,10.354999542236328,10.555000305175781,211676
2025-10-15,10.574999809265137,10.670000076293945,10.46500015258789,10.670000076293945,137515
2025-10-16,10.050000190734863,10.574999809265137,10.03499984741211,10.555000305175781,428264
2025-10-17,9.935999870300293,10.114999771118164,9.859999656677246,10.0,247332
2025-10-20,9.998000144958496,9.998000144958496,9.776000022888184,9.949999809265137,160109
2025-10-21,9.82800006866455,9.986000061035156,9.760000228881836,9.972000122070312,105071
2025-10-22,9.770000457763672,9.949999809265137,9.708000183105469,9.789999961853027,173310
2025-10-23,9.878000259399414,9.894000053405762,9.680000305175781,9.770000457763672,123766
2025-10-24,10.180000305175781,10.329999923706055,9.88599967956543,9.88599967956543,286926
2025-10-27,9.954000473022461,10.279999732971191,9.949999809265137,10.170000076293945,177287
2025-10-28,10.050000190734863,10.050000190734863,9.850000381469727,9.928000450134277,98785
2025-10-29,10.015000343322754,10.130000114440918,9.968000411987305,10.0,86042
2025-10-30,9.755999565124512,9.994000434875488,9.755999565124512,9.968000411987305,125422
2025-10-31,9.618000030517578,9.784000396728516,9.562000274658203,9.729999542236328,174351
2025-11-03,9.59000015258789,9.866000175476074,9.5,9.574000358581543,165117
2025-11-04,9.607999801635742,9.699999809265137,9.449999809265137,9.557999610900879,154468
2025-11-05,9.843999862670898,10.220000267028809,9.5,9.5,493864
2025-11-06,10.020000457763672,10.539999961853027,9.97599983215332,10.085000038146973,558197
2025-11-07,9.925999641418457,10.460000038146973,9.868000030517578,10.024999618530273,265616
2025-11-10,10.460000038146973,10.520000457763672,10.140000343322754,10.140000343322754,467565
